,Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],ε [%],y [%],y* [%]
0,AC,29695.490879623874,27594.26918920806,2101.221690415818,0.0,92.92410521538942,2.4663560971065013,5.310397123744513
1,APH,16240.988126897473,13683.489689563465,2557.4984373340085,0.0,84.25281505440907,3.0019211647348008,6.463540904582967
4,CC,84181.39702106685,58783.59480335209,25397.802217714758,0.0,69.82967363756292,29.811240117347992,64.18761830870596
5,DRUM,18113.540975538534,18104.37480558285,9.16616995568201,0.0,99.94939603488871,0.010758997615733236,0.02316557210047382
2,EV,15168.289108185712,10576.8691359735,4591.419972212212,0.0,69.7301393752153,5.389282194493808,11.60385100037386
6,EXP,62690.501136519364,59695.490879623874,2995.01025689549,0.0,95.222545357592,3.515460477913164,7.569260267180894
3,PH,4128.5445718715555,2212.5925779499917,1915.951993921564,0.0,53.592556394443314,2.2488916345788703,4.842166823311336
TOT,TOT,85195.38978499277,42753.64646216909,39568.07073844953,2873.6725843741497,50.18305165345951,46.443910683790875,100.0
